shot,tq_onset_manual,tq_end_manual,tau_man,notes
1050211022,0.92364,0.9245,0.00086,"VDE (logbook, Zcur), SXR has only 5 kHz time resolution"
1050303003,1.3115,1.31213,0.00063,"SXR channel 15 junk, channels 21+ stay elevated until after CQ; SXR array 1 is fine"
1050311006,0.98447,0.98612,0.00165,"VDE (logbook, Zcur)"
1050311010,0.95391,0.95429,0.00038,"VDE (Zcur), sxr array 3 chords 21-38 weird"
1050311013,0.71292,0.7159,0.00298,"2 stage thermal quench space 2 ms apart. sxr array 3 chords 21-38 junk and cut off after disruption, before 2 s. Since the core Te only recovers to 0.2 keV and they're only 2 ms apart, count the first as the onset of the thermal quench, sxr array 1 is junk for chords 1-16"
1050311023,0.83874,0.8403,0.00156,"Two stage TQ, count second one bc much more significant. "
1050317009,1.2435,1.2441,0.0006,"VDE (Zcur), Seems to be ECE cutoff at 1.21 s due to increased density since SXR and Wmhd remain high, SXR array 3 chords 21-38 bad"
1050318035,1.09311,1.09371,0.0006,
1050330006,0.45852,0.4591,0.00058,"Long current quench, reheats slightly after losing vertical control"
1050330019,0.93663,0.93714,0.00051,"Long current quench, reheats slightly after losing vertical control"
1050413021,0.82171,0.82312,0.00141,"VDE (Zcur), short delay between TQ and CQ"
1050413031,0.88622,0.8874,0.00118,"Partial thermal collapse at 0.76, chords 21-38 bad for SXR array 3, VDE (Zcur)"
1050415007,1.28862,1.28961,0.00099,"Very low SXR, used ECE to label TQ"
1050415014,1.28606,1.287,0.00094,chords 21-38 for array 3 bad. 
1050415016,0.6517,0.6521,0.0004,"ECE bad, LM + injection (logbook), Wmhd + SXR to label TQ"
1050420010,0.98269,0.98428,0.00159,"chords 21-38 bad, w/ chord 37 contaminating signal"
1050421007,0.51352,0.51462,0.0011,"multi-stage TQ, ECE more clearly shows fast quench"
1050422009,0.41631,0.41709,0.00078,chords 21-38 bad
1050427017,0.43769,0.4396,0.00191,Long TQ
1050428006,0.99137,0.99234,0.00097,chords 21-38 bad
1050429010,0.49331,0.49412,0.00081,
1050429012,0.28238,0.28316,0.00078,"Using SXR array 1, ECE"
1050526036,1.3143,1.3163,0.002,
1050603004,0.8355,0.8359,0.0004,"ECE bad, VDE (Zcur)"
1050603012,0.80791,0.80892,0.00101,
1050614029,1.42371,1.42464,0.00093,
1050628001,0.83778,0.83848,0.0007,"ECE off but FRC ECE good w/ high sampling rate, used for labeling TQ"
1050722014,0.806,0.80644,0.00044,ECE bad
1050728026,0.55615,0.5577,0.00155,ECE bad
1050802017,0.80172,0.8026,0.00088,"Long CQ with two periods of reheating and minor TQs. Since nearly all thermal energy is lost in first quench (based on Wmhd, Te0 ECE and SXR, count first TQ as quench)"
