,SHOT
14477,1000322005
14485,1000328004
14486,1000328005
14488,1000328007
14489,1000328008
14490,1000328009
14491,1000328010
14492,1000328011
14493,1000328012
14494,1000328013
14495,1000328014
14496,1000328015
14497,1000328016
14498,1000328017
14499,1000328018
14500,1000328019
14501,1000328020
14502,1000328021
14503,1000328022
14504,1000328023
14508,1000328027
14509,1000329001
14510,1000329002
14511,1000329003
14512,1000329004
14513,1000329005
14514,1000329006
14515,1000329007
14516,1000329008
14517,1000329009
14518,1000329010
14519,1000329011
14520,1000330001
14521,1000330002
14522,1000330003
14523,1000330004
14524,1000330005
14525,1000330006
14526,1000330007
14527,1000330008
14528,1000330009
14529,1000330010
14530,1000330011
14531,1000330012
14533,1000330014
14534,1000330015
14535,1000330016
14536,1000330017
14537,1000330018
14538,1000330019
14539,1000330020
14540,1000330021
14541,1000330022
14542,1000330023
14543,1000330024
14544,1000330025
14545,1000330026
14548,1000331003
14549,1000331004
14550,1000331005
14551,1000331006
14552,1000331007
14554,1000331009
14555,1000331010
14556,1000331011
14557,1000331012
14558,1000331013
14559,1000331014
14560,1000331015
14561,1000331016
14575,1000405014
14576,1000405015
14577,1000405016
14578,1000405017
14579,1000405018
14580,1000405019
14582,1000405021
14583,1000405022
14584,1000405023
14586,1000405025
14587,1000405026
14588,1000405027
14589,1000405028
14590,1000405029
14591,1000405030
14592,1000405031
14593,1000405032
14594,1000406001
14596,1000406003
14597,1000406004
14598,1000406005
14599,1000406006
14600,1000406007
14601,1000406008
14602,1000406009
14603,1000406010
14604,1000406011
14605,1000406012
14607,1000406014
14608,1000406015
14609,1000406016
14610,1000406017
14611,1000407001
14612,1000407002
14613,1000407003
14614,1000407004
14615,1000407005
14616,1000407006
14617,1000407007
14618,1000407008
14619,1000407009
14620,1000407010
14621,1000407011
14623,1000407013
14624,1000407014
14625,1000407015
14626,1000407016
14627,1000407017
14628,1000407018
14631,1000418003
14632,1000418004
14633,1000418005
14634,1000418006
14635,1000418007
14636,1000418008
14637,1000418009
14638,1000418010
14639,1000418011
14640,1000418012
14641,1000418013
14642,1000418014
14643,1000418015
14644,1000418016
14645,1000418017
14646,1000418018
14647,1000418019
14648,1000418020
14649,1000418021
14650,1000418022
14651,1000418023
14652,1000418024
14653,1000418025
14654,1000419001
14655,1000419002
14656,1000419003
14657,1000419004
14658,1000419005
14659,1000419006
14660,1000419007
14661,1000419008
14662,1000419009
14663,1000419010
14664,1000419011
14665,1000419012
14666,1000419013
14667,1000419014
14668,1000419015
14669,1000419016
14670,1000419017
14671,1000419018
14672,1000419019
14673,1000419020
14674,1000419021
14675,1000421001
14676,1000421002
14677,1000421003
14678,1000421004
14679,1000421005
14680,1000421006
14681,1000421007
14682,1000421008
14683,1000421009
14684,1000421010
14685,1000421011
14686,1000421012
14687,1000421013
14688,1000421014
14689,1000421015
14690,1000421016
14691,1000421017
14692,1000421018
14693,1000421019
14694,1000421020
14695,1000421021
14696,1000421022
14697,1000421023
14699,1000426002
14700,1000426003
14701,1000426004
14702,1000426005
14703,1000426006
14704,1000426007
14706,1000426009
14707,1000426010
14708,1000426011
14709,1000426012
14710,1000426013
14711,1000426014
14712,1000426015
14713,1000426016
14714,1000426017
14715,1000426018
14716,1000426019
14717,1000426020
14718,1000426021
14719,1000426022
14721,1000428002
14722,1000428003
14723,1000428004
14724,1000428005
14725,1000428006
14726,1000428007
14727,1000428008
14728,1000428009
14729,1000428010
14730,1000428011
14731,1000428012
14732,1000428013
14733,1000428014
14734,1000428015
14735,1000428016
14736,1000428017
14737,1000428018
14738,1000428019
14739,1000428020
14740,1000428021
14741,1000428022
14744,1000503003
14745,1000503004
14746,1000503005
14747,1000503006
14748,1000503007
14749,1000503008
14750,1000503009
14751,1000503010
14752,1000503011
14753,1000503012
14754,1000503013
14755,1000503014
14756,1000503015
14757,1000503016
14758,1000503017
14759,1000503018
14760,1000503019
14761,1000503020
14762,1000503021
14763,1000503022
14767,1000504003
14768,1000504004
14769,1000504005
14770,1000504006
14771,1000504007
14772,1000504008
14773,1000504009
14774,1000504010
14775,1000504011
14776,1000504012
14777,1000504013
14778,1000504014
14779,1000505001
14780,1000505002
14781,1000505003
14782,1000505004
14783,1000505005
14784,1000505006
14785,1000505007
14786,1000505008
14787,1000505009
14788,1000505010
14789,1000505011
14790,1000505012
14791,1000505013
14792,1000505014
14793,1000505015
14794,1000505016
14795,1000505017
14796,1000505018
14797,1000505019
14798,1000505020
14799,1000505021
14800,1000505022
14801,1000505023
14807,1000509003
14808,1000509004
14809,1000509005
14810,1000509006
14811,1000509007
14812,1000509008
14813,1000509009
14814,1000509010
14815,1000509011
14816,1000509012
14817,1000509013
14818,1000509014
14819,1000509015
14820,1000509016
14821,1000509017
14822,1000509018
14823,1000509019
14824,1000509020
14825,1000509021
14826,1000509022
14827,1000510001
14828,1000510002
14829,1000510003
14830,1000510004
14831,1000510005
14832,1000510006
14833,1000510007
14834,1000510008
14835,1000510009
14836,1000510010
14837,1000510011
14838,1000510012
14839,1000510013
14840,1000510014
14841,1000510015
14842,1000510016
14843,1000510017
14844,1000510018
14845,1000510019
14846,1000510020
14847,1000510021
14848,1000511001
14849,1000511002
14850,1000511003
14851,1000511004
14852,1000511005
14853,1000511006
14854,1000511007
14855,1000511008
14856,1000511009
14857,1000511010
14858,1000511011
14859,1000511012
14860,1000511013
14861,1000511014
14862,1000511015
14863,1000511016
14864,1000511017
14865,1000511018
14866,1000511019
14867,1000511020
14868,1000511021
14869,1000511022
14870,1000511023
14871,1000511024
14873,1000511026
14874,1000512001
14875,1000512002
14876,1000512003
14877,1000512004
14878,1000512005
14879,1000512006
14880,1000512007
14881,1000512008
14882,1000512009
14883,1000512010
14884,1000512011
14885,1000512012
14886,1000512013
14887,1000512014
14888,1000512015
14889,1000512016
14890,1000512017
14891,1000512018
14892,1000512019
14893,1000512020
14894,1000512021
14895,1000512022
14898,1000516003
14899,1000516004
14900,1000516005
14901,1000516006
14902,1000516007
14903,1000516008
14904,1000516009
14905,1000516010
14906,1000516011
14907,1000516012
14908,1000516013
14909,1000516014
14910,1000516015
14911,1000516016
14912,1000516017
14913,1000516018
14914,1000516019
14915,1000516020
14916,1000516021
14917,1000516022
14918,1000516023
14919,1000516024
14920,1000516025
14921,1000516026
14923,1000517001
14924,1000517002
14925,1000517003
14926,1000517004
14927,1000517005
14928,1000517006
14930,1000517008
14931,1000517009
14932,1000517010
14933,1000517011
14934,1000517012
14935,1000517013
14936,1000517014
14937,1000517015
14938,1000517016
14939,1000517017
14940,1000517018
14941,1000517019
14942,1000517020
14943,1000517021
14944,1000517022
14945,1000517023
14946,1000517024
14947,1000517025
14948,1000517026
14949,1000518001
14950,1000518002
14951,1000518003
14952,1000518004
14953,1000518005
14954,1000518006
14955,1000518007
14956,1000518008
14957,1000518009
14958,1000518010
14959,1000518011
14960,1000518012
14961,1000518013
14962,1000518014
14963,1000518015
14964,1000518016
14965,1000518017
14966,1000518018
14967,1000518019
14968,1000518020
14969,1000518021
14970,1000518022
14971,1000518023
14972,1000518024
14973,1000518025
14975,1000523002
14979,1000523006
14980,1000523007
14981,1000523008
14982,1000523009
14983,1000523010
14984,1000523011
14985,1000523012
14986,1000523013
14987,1000523014
14988,1000523015
14989,1000523016
14990,1000523017
14991,1000523018
14992,1000523019
14993,1000523020
14994,1000523021
14995,1000523022
14996,1000523023
14997,1000524001
14998,1000524002
14999,1000524003
15000,1000524004
15002,1000524006
15003,1000524007
15004,1000524008
15005,1000524009
15006,1000524010
15007,1000524011
15008,1000524012
15009,1000524013
15010,1000524014
15011,1000524015
15012,1000524016
15013,1000524017
15014,1000524018
15015,1000524019
15016,1000524020
15017,1000524021
15018,1000524022
15019,1000525001
15020,1000525002
15021,1000525003
15022,1000525004
15023,1000525005
15024,1000525006
15025,1000525007
15026,1000525008
15028,1000525010
15029,1000525011
15030,1000525012
15031,1000525013
15032,1000525014
15033,1000525015
15034,1000525016
15035,1000525017
15036,1000525018
15037,1000525019
15038,1000525020
15039,1000525021
15040,1000525022
15041,1000525023
15042,1000526001
15043,1000526002
15044,1000526003
15045,1000526004
15046,1000526005
15047,1000526006
15048,1000526007
15049,1000526008
15050,1000526009
15051,1000526010
15052,1000526011
15053,1000526012
15054,1000526013
15055,1000526014
15056,1000526015
15057,1000526016
15058,1000526017
15059,1000526018
15060,1000526019
15061,1000526020
15062,1000526021
15063,1000526022
15064,1000526023
15065,1000526024
15067,1000531002
15068,1000531003
15069,1000531004
15070,1000531005
15071,1000531006
15072,1000531007
15073,1000531008
15074,1000531009
15075,1000531010
15076,1000531011
15077,1000531012
15078,1000531013
15079,1000531015
15080,1000531016
15081,1000531017
15082,1000531018
15083,1000531019
15084,1000531020
15085,1000531021
15086,1000531022
15087,1000531023
15088,1000601001
15089,1000601002
15090,1000601003
15091,1000601004
15092,1000601005
15093,1000601006
15094,1000601007
15095,1000601008
15096,1000601009
15097,1000601010
15098,1000601011
15099,1000601012
15100,1000601013
15101,1000601014
15102,1000601015
15103,1000601016
15104,1000601017
15105,1000601018
15106,1000601019
15107,1000601020
15108,1000601021
15109,1000601022
15110,1000601023
15111,1000602001
15112,1000602002
15113,1000602003
15114,1000602004
15115,1000602005
15116,1000602006
15117,1000602007
15118,1000602008
15119,1000602009
15120,1000602010
15121,1000602011
15122,1000602012
15123,1000602013
15124,1000602014
15125,1000602015
15126,1000602016
15127,1000602017
15128,1000602018
15129,1000602019
15130,1000602020
15131,1000602021
15132,1000602022
15133,1000602023
15140,1000606007
15141,1000606008
15142,1000606009
15143,1000606010
15144,1000606011
15145,1000606012
15146,1000606013
15147,1000606014
15148,1000606015
15149,1000606016
15150,1000607001
15151,1000607002
15152,1000607003
15153,1000607004
15154,1000607005
15155,1000607006
15156,1000607007
15157,1000607008
15158,1000607009
15159,1000607010
15160,1000607011
15161,1000607012
15162,1000607013
15163,1000607014
15164,1000607015
15165,1000607016
15166,1000607017
15167,1000607018
15168,1000607019
15169,1000607020
15170,1000607021
15171,1000607022
15172,1000607023
15173,1000607024
15174,1000607025
15175,1000608001
15176,1000608002
15177,1000608003
15178,1000608004
15179,1000608005
15180,1000608006
15181,1000608007
15182,1000608008
15183,1000608009
15184,1000608010
15185,1000608011
